"","Sp1","Plant","Plant_ID","Revision_ID","DateTime","Behaviour","Coexistence","n_cam","Days","Days.in.field","duration","ID","effort_pl_sp","effort_ind","Long","Lat","SpeciesType"
"25","sylvia undata","aspa","aspa003","rev01",2018-01-03 16:02:26,"searching for food, searching for food",FALSE,1,"7.13",29,"18","aspa003_rev01_IMG_0029",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"26","sylvia undata","aspa","aspa003","rev01",2018-01-04 17:34:06,"searching for food, searching for food",FALSE,1,"7.13",29,"10","aspa003_rev01_IMG_0032",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"27","sylvia melanocephala","aspa","aspa003","rev01",2018-01-04 07:23:56,"searching for food, searching for food",FALSE,1,"7.13",29,"10","aspa003_rev01_IMG_0033",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"28","sylvia undata","aspa","aspa003","rev01",2018-01-04 07:51:38,"searching for food, searching for food",FALSE,1,"7.13",29,"10","aspa003_rev01_IMG_0035",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"29","sylvia undata","aspa","aspa003","rev01",2018-01-05 14:55:32,"searching for food, searching for food",FALSE,1,"7.13",29,"46","aspa003_rev01_IMG_0038",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"30","sylvia melanocephala","aspa","aspa003","rev01",2018-01-07 12:04:58,"searching for food, searching for food",FALSE,1,"7.13",29,"10","aspa003_rev01_IMG_0045",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"31","cervus elaphus","joxy","joxy001","rev01",2020-01-01 06:19:10,"searching for food, searching for food",FALSE,1,"27.79",28,"30.41618","joxy001_rev01_IMG_0005",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"32","rattus","rulm","rulm021","rev01",2020-01-01 12:13:28,"searching for food, searching for food",FALSE,1,"2.04",12,"20.233131","rulm021_rev01_IMG_0002",2298.730023284,26.98,-6.483890013769,36.980870040134,"Mammal"
"33","rattus","rulm","rulm016","rev01",2020-01-05 08:02:24,"searching for food, searching for food",FALSE,1,"14.96",15,"10.499895","rulm016_rev01_IMG_0047",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"34","rattus","rulm","rulm016","rev01",2020-01-05 08:03:36,"searching for food, searching for food",FALSE,1,"14.96",15,"10.466562","rulm016_rev01_IMG_0048",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"35","saxicola rubicola","rulm","rulm016","rev01",2020-01-07 12:19:16,"searching for food, searching for food",FALSE,1,"14.96",15,"10.533228","rulm016_rev01_IMG_0065",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Bird"
"36","cervus elaphus","joxy","joxy001","rev01",2020-01-08 09:42:12,"searching for food, searching for food",FALSE,1,"27.79",28,"10.083172","joxy001_rev01_IMG_0016",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"37","cervus elaphus","joxy","joxy001","rev01",2020-01-08 09:43:04,"searching for food, searching for food",FALSE,1,"27.79",28,"74.457142","joxy001_rev01_IMG_0017",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"38","apode-mus","rulm","rulm005","rev01",2020-01-09 18:34:44,"searching for food, searching for food",FALSE,1,"13.88",15,"10.533228","rulm005_rev01_IMG_0056",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Mammal"
"39","cervus elaphus","rulm","rulm021","rev01",2020-01-14 18:54:46,"searching for food, searching for food",FALSE,1,"15.13",15,"10.499895","rulm021_rev01_IMG_0091",2298.730023284,26.98,-6.483890013769,36.980870040134,"Mammal"
"40","rattus","rulm","rulm016","rev01",2020-01-15 17:12:50,"searching for food, searching for food",FALSE,1,"14.96",15,"27.033063","rulm016_rev01_IMG_0253",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"41","cervus elaphus","rulm","rulm021","rev01",2020-01-15 20:02:42,"searching for food, searching for food",FALSE,1,"15.13",15,"24.166425","rulm021_rev01_IMG_0112",2298.730023284,26.98,-6.483890013769,36.980870040134,"Mammal"
"42","cervus elaphus","joxy","joxy001","rev01",2020-01-16 04:50:56,"searching for food, searching for food",FALSE,1,"27.79",28,"37.457734","joxy001_rev01_IMG_0026",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"43","cervus elaphus","joxy","joxy001","rev01",2020-01-16 04:53:50,"searching for food, searching for food",FALSE,1,"27.79",28,"20.166344","joxy001_rev01_IMG_0029",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"44","turdus merula","oeur","oeur001","rev01",2020-01-17 16:41:02,"searching for food, searching for food",FALSE,3,"21.98",42,"10.499895","oeur001_rev01_IMG_0225",1118.967916671,176.05,-6.444530021399,37.023290013894,"Bird"
"45","sylvia melanocephala","rper","rper001","rev01",2020-01-18 18:38:28,"searching for food, searching for food",TRUE,2,"28",28,"10.533228","rper001_rev01_IMG_0076",223.973009254,113.82,-6.48388,36.98085,"Bird"
"46","hippolais poliglotta","rulm","rulm005","rev01",2020-01-21 10:38:40,"searching for food, searching for food",FALSE,1,"11.34",12,"16.833165","rulm005_rev01_IMG_0063",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Bird"
"47","hippolais poliglotta","rulm","rulm005","rev01",2020-01-21 11:07:48,"searching for food, searching for food",FALSE,1,"11.34",12,"37.832955","rulm005_rev01_IMG_0067",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Bird"
"48","hippolais poliglotta","rulm","rulm005","rev01",2020-01-21 11:24:14,"searching for food, searching for food",FALSE,1,"11.34",12,"10.533228","rulm005_rev01_IMG_0071",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Bird"
"49","hippolais poliglotta","rulm","rulm005","rev01",2020-01-21 15:07:34,"searching for food, searching for food",FALSE,1,"11.34",12,"10.499895","rulm005_rev01_IMG_0093",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Bird"
"50","rattus","rulm","rulm016","rev01",2020-01-21 15:54:34,"searching for food, searching for food",FALSE,1,"11.98",12,"21.066456","rulm016_rev01_IMG_0229",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"51","turdus merula","oeur","oeur001","rev01",2020-01-22 10:20:12,"searching for food, searching for food",FALSE,3,"21.98",42,"21.033123","oeur001_rev01_IMG_0334",1118.967916671,176.05,-6.444530021399,37.023290013894,"Bird"
"52","rattus","rulm","rulm005","rev01",2020-01-22 17:50:24,"searching for food, searching for food",FALSE,1,"11.34",12,"10.499895","rulm005_rev01_IMG_0185",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Mammal"
"53","hippolais poliglotta","rulm","rulm005","rev01",2020-01-23 10:13:36,"searching for food, searching for food",FALSE,1,"11.34",12,"31.499685","rulm005_rev01_IMG_0186",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Bird"
"54","hippolais poliglotta","rulm","rulm005","rev01",2020-01-23 13:45:38,"searching for food, searching for food",FALSE,1,"11.34",12,"26.266404","rulm005_rev01_IMG_0195",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Bird"
"55","rattus","rulm","rulm016","rev01",2020-01-23 09:53:32,"searching for food, searching for food",FALSE,1,"11.98",12,"83.66583","rulm016_rev01_IMG_0287",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"56","rattus","rulm","rulm016","rev01",2020-01-23 09:58:30,"searching for food, searching for food",FALSE,1,"11.98",12,"31.33302","rulm016_rev01_IMG_0292",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"57","rattus","rulm","rulm005","rev01",2020-01-23 12:35:38,"searching for food, searching for food",FALSE,1,"11.34",12,"27.233061","rulm005_rev01_IMG_0225",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Mammal"
"58","rattus","rulm","rulm005","rev01",2020-01-23 12:49:00,"searching for food, searching for food",FALSE,1,"11.34",12,"45.199548","rulm005_rev01_IMG_0229",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Mammal"
"59","rattus","rulm","rulm016","rev01",2020-01-23 14:04:58,"searching for food, searching for food",FALSE,1,"11.98",12,"10.466562","rulm016_rev01_IMG_0320",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"60","rattus","rulm","rulm016","rev01",2020-01-23 14:45:42,"searching for food, searching for food",FALSE,1,"11.98",12,"10.466562","rulm016_rev01_IMG_0332",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"61","rattus","rulm","rulm016","rev01",2020-01-24 08:03:14,"searching for food, searching for food",FALSE,1,"11.98",12,"49.199508","rulm016_rev01_IMG_0364",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"62","rattus","rulm","rulm016","rev01",2020-01-24 08:13:16,"searching for food, searching for food",FALSE,1,"11.98",12,"10.466562","rulm016_rev01_IMG_0370",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"63","rattus","rulm","rulm016","rev01",2020-01-24 16:51:16,"searching for food, searching for food",FALSE,1,"11.98",12,"10.566561","rulm016_rev01_IMG_0401",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"64","cervus elaphus","joxy","joxy001","rev01",2020-01-27 12:36:26,"searching for food, searching for food",FALSE,1,"27.79",28,"10.166504","joxy001_rev01_IMG_0047",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"65","cervus elaphus","joxy","joxy001","rev01",2020-01-29 01:22:36,"searching for food, searching for food",FALSE,1,"18",18,"20.541338","joxy001_rev01_IMG_0004",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"66","cervus elaphus","rulm","rulm016","rev01",2020-01-29 19:25:04,"searching for food, searching for food",FALSE,1,"14.11",15,"16.833165","rulm016_rev01_IMG_0072",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"67","sylvia melanocephala","aune","aune005","rev01",2020-01-30 13:43:16,"searching for food, searching for food",TRUE,2,"33.09",56,"10.499895","aune005_rev01_IMG_0011",1846.443472215,110.07,-6.478470023721,37.026070039719,"Bird"
"68","cervus elaphus","joxy","joxy001","rev01",2020-01-30 02:40:12,"searching for food, searching for food",FALSE,1,"18",18,"72.998832","joxy001_rev01_IMG_0008",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"69","cervus elaphus","joxy","joxy001","rev01",2020-01-30 02:44:04,"searching for food, searching for food",FALSE,1,"18",18,"82.748676","joxy001_rev01_IMG_0012",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"70","cervus elaphus","joxy","joxy001","rev01",2020-01-30 02:49:50,"searching for food, searching for food",FALSE,1,"18",18,"117.998112","joxy001_rev01_IMG_0020",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"71","cervus elaphus","joxy","joxy001","rev01",2020-01-30 02:52:58,"searching for food, searching for food",FALSE,1,"18",18,"297.203578","joxy001_rev01_IMG_0026",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"72","cervus elaphus","joxy","joxy001","rev01",2020-01-30 02:59:22,"searching for food, searching for food",FALSE,1,"18",18,"234.871242","joxy001_rev01_IMG_0030",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"73","sylvia melanocephala","oeur","oeur001","rev01",2020-02-02 11:37:06,"searching for food, searching for food",FALSE,3,"41.19",51,"10.433229","oeur001_rev01_IMG_0115",1118.967916671,176.05,-6.444530021399,37.023290013894,"Bird"
"74","rattus","rulm","rulm016","rev01",2020-02-04 11:28:14,"searching for food, searching for food",FALSE,1,"14.11",15,"10.466562","rulm016_rev01_IMG_0173",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"75","rattus","rulm","rulm016","rev01",2020-02-07 08:50:12,"searching for food, searching for food",FALSE,1,"14.11",15,"27.266394","rulm016_rev01_IMG_0211",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Mammal"
"76","apode-mus","rulm","rulm005","rev01",2020-02-13 11:36:30,"searching for food, searching for food",FALSE,1,"12.81",14,"10.66656","rulm005_rev01_IMG_0015",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Mammal"
"77","sylvia melanocephala","rulm","rulm016","rev01",2020-02-14 13:30:40,"searching for food, searching for food",FALSE,1,"13.99",14,"10.533228","rulm016_rev01_IMG_0034",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Bird"
"78","cervus elaphus","joxy","joxy001","rev01",2020-02-15 07:59:32,"searching for food, searching for food",FALSE,1,"18",18,"10.166504","joxy001_rev01_IMG_0048",3632.161801502,226.014488888,-6.403807969764,36.829226994887,"Mammal"
"79","cyanistes caeruleus","rulm","rulm016","rev01",2020-02-16 17:06:34,"searching for food, searching for food",FALSE,1,"13.99",14,"10.466562","rulm016_rev01_IMG_0133",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Bird"
"80","sylvia melanocephala","rulm","rulm016","rev01",2020-02-18 19:38:36,"searching for food, searching for food",FALSE,1,"13.99",14,"10.499895","rulm016_rev01_IMG_0243",2298.730023284,92.840370371,-6.442370004952,36.992500014603,"Bird"
"81","rattus","rulm","rulm005","rev01",2020-02-25 12:33:58,"searching for food, searching for food",FALSE,1,"12.81",14,"10.533228","rulm005_rev01_IMG_0082",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Mammal"
"82","cervus elaphus","oeur","oeur001","rev01",2020-03-01 02:13:18,"searching for food, searching for food",FALSE,3,"75.49",99,"59.266074","oeur001_rev01_IMG_0035",1118.967916671,176.05,-6.444530021399,37.023290013894,"Mammal"
"83","cervus elaphus","oeur","oeur001","rev01",2020-03-01 02:35:52,"searching for food, searching for food",FALSE,3,"75.49",99,"10.633227","oeur001_rev01_IMG_0042",1118.967916671,176.05,-6.444530021399,37.023290013894,"Mammal"
"84","alectoris rufa","calb","calb07","rev01",2021-07-16 09:32:24,"searching for food, searching for food",FALSE,1,"18.88",19,"17.25","a07_rev01_IMG_0003",3464.52351851852,147.849513888889,-6.445320016,36.96933998,"Bird"
"85","sus scrofa","calb","calb03","rev01",2021-07-15 23:00:36,"searching for food, searching for food",FALSE,1,"8.21",19,"10.466667","a03_rev01_07150010",3464.52351851852,56.4147222222222,-6.44589996,36.97007004,"Mammal"
"86","sus scrofa","calb","calb16","rev01",2021-07-15 23:10:58,"searching for food, searching for food",FALSE,1,"18.45",19,"10","a16_rev01_IMG_0001",3464.52351851852,61.7335648148148,-6.446379991,36.96897,"Mammal"
"87","sus scrofa","calb","calb07","rev01",2021-07-15 23:14:20,"searching for food, searching for food",FALSE,1,"18.88",19,"35","a07_rev01_IMG_0004",3464.52351851852,147.849513888889,-6.445320016,36.96933998,"Mammal"
"88","sus scrofa","calb","calb20","rev01",2021-07-16 04:24:06,"searching for food, searching for food",FALSE,1,"7.24",19,"10.466667","a20_rev01_07160091",3464.52351851852,57.920462962963,-6.44683999,36.96881996,"Mammal"
"89","alectoris rufa","calb","calb23","rev01",2021-07-16 07:50:22,"searching for food, searching for food",FALSE,1,"18.42",19,"10","a23_rev01_IMG_0019",3464.52351851852,97.9350462962963,-6.447120029,36.96913999,"Bird"
"90","cyanopica cooki","calb","calb13","rev01",2021-07-16 18:29:10,"searching for food, searching for food",FALSE,1,"18.98",19,"10","a13_rev01_IMG_0047",3464.52351851852,128.146759259259,-6.446310002,36.96949999,"Bird"
"91","sus scrofa","calb","calb17","rev01",2021-07-16 21:59:30,"searching for food, searching for food",FALSE,1,"18.15",19,"9.901","a17_rev01_07160040",3464.52351851852,227.570763888889,-6.44634001,36.96864001,"Mammal"
"92","sus scrofa","calb","calb10","rev01",2021-07-16 22:16:32,"searching for food, searching for food",FALSE,1,"2.93888888888889",19,"100.733336","a10_rev01_IMG_0007",3464.52351851852,96.6523842592592,-6.445859978,36.96900998,"Mammal"
"93","cyanopica cooki","calb","calb24","rev01",2021-07-17 08:30:30,"searching for food, searching for food",FALSE,1,"18.9",19,"9.901","a24_rev01_07170003",3464.52351851852,123.511712962963,-6.447339971,36.96890001,"Bird"
"94","cyanopica cooki","calb","calb15","rev01",2021-07-17 12:15:46,"searching for food, searching for food",FALSE,1,"10.02",19,"17","a15_rev01_IMG_0023",3464.52351851852,114.03599537037,-6.446633041,36.97005596,"Bird"
"95","cyanopica cooki","calb","calb04","rev01",2021-07-17 14:42:12,"searching for food, searching for food",FALSE,1,"18.92",19,"10","a04_rev01_IMG_0016",3464.52351851852,82.6938425925926,-6.446040021,36.96992998,"Bird"
"96","cyanopica cooki","calb","calb04","rev01",2021-07-17 14:43:54,"searching for food, searching for food",FALSE,1,"18.92",19,"10","a04_rev01_IMG_0018",3464.52351851852,82.6938425925926,-6.446040021,36.96992998,"Bird"
"97","cyanopica cooki","calb","calb04","rev01",2021-07-17 15:12:50,"searching for food, searching for food",FALSE,1,"18.92",19,"64.25","a04_rev01_IMG_0023",3464.52351851852,82.6938425925926,-6.446040021,36.96992998,"Bird"
"98","alectoris rufa","calb","calb04","rev01",2021-07-17 15:40:12,"searching for food, searching for food",FALSE,1,"18.92",19,"10","a04_rev01_IMG_0032",3464.52351851852,82.6938425925926,-6.446040021,36.96992998,"Bird"
"99","alectoris rufa","calb","calb12","rev01",2021-07-18 09:12:04,"searching for food, searching for food",FALSE,1,"6.04",19,"10.566667","a12_rev01_07170096",3464.52351851852,149.143240740741,-6.445870036,36.96942003,"Bird"
"100","sus scrofa","calb","calb11","rev01",2021-07-17 22:18:40,"searching for food, searching for food",FALSE,1,"16.73",19,"40","a11_rev01_IMG_0002",3464.52351851852,253.563356481482,-6.446089977,36.96927996,"Mammal"
"101","sus scrofa","calb","calb23","rev01",2021-07-17 23:58:12,"searching for food, searching for food",FALSE,1,"18.42",19,"80","a23_rev01_IMG_0108",3464.52351851852,97.9350462962963,-6.447120029,36.96913999,"Mammal"
"102","sus scrofa","calb","calb22","rev01",2021-07-18 00:03:10,"searching for food, searching for food",FALSE,1,"18.98",19,"20.933334","a22_rev01_07180018",3464.52351851852,126.072615740741,-6.446939986,36.96914996,"Mammal"
"103","alectoris rufa","calb","calb03","rev01",2021-07-18 07:29:06,"searching for food, searching for food",FALSE,1,"8.21",19,"10.366667","a03_rev01_07180034",3464.52351851852,56.4147222222222,-6.44589996,36.97007004,"Bird"
"104","sus scrofa","calb","calb13","rev01",2021-07-18 08:24:38,"searching for food, searching for food",FALSE,1,"18.98",19,"87.25","a13_rev01_IMG_0076",3464.52351851852,128.146759259259,-6.446310002,36.96949999,"Mammal"
"105","sus scrofa","calb","calb22","rev01",2021-07-18 08:33:30,"searching for food, searching for food",FALSE,1,"18.98",19,"10.466667","a22_rev01_07180020",3464.52351851852,126.072615740741,-6.446939986,36.96914996,"Mammal"
"106","sus scrofa","calb","calb24","rev01",2021-07-18 08:37:52,"searching for food, searching for food",FALSE,1,"18.9",19,"49.502","a24_rev01_07180004",3464.52351851852,123.511712962963,-6.447339971,36.96890001,"Mammal"
"107","dama dama","calb","calb17","rev01",2021-07-18 21:41:08,"searching for food, searching for food",FALSE,1,"18.15",19,"9.901","a17_rev01_07180120",3464.52351851852,227.570763888889,-6.44634001,36.96864001,"Mammal"
"108","cyanopica cooki","calb","calb22","rev01",2021-07-19 12:35:30,"searching for food, searching for food",TRUE,1,"18.98",19,"10.466667","a22_rev01_07190033",3464.52351851852,126.072615740741,-6.446939986,36.96914996,"Bird"
"109","sturnus unicolor","calb","calb22","rev01",2021-07-19 12:35:30,"searching for food, searching for food",TRUE,1,"18.98",19,"10.466667","a22_rev01_07190033",3464.52351851852,126.072615740741,-6.446939986,36.96914996,"Bird"
"110","cyanopica cooki","calb","calb13","rev01",2021-07-19 12:57:06,"searching for food, searching for food",FALSE,1,"18.98",19,"17.25","a13_rev01_IMG_0154",3464.52351851852,128.146759259259,-6.446310002,36.96949999,"Bird"
"111","sturnus unicolor","calb","calb13","rev01",2021-07-19 19:16:36,"searching for food, searching for food",FALSE,1,"18.98",19,"17.25","a13_rev01_IMG_0200",3464.52351851852,128.146759259259,-6.446310002,36.96949999,"Bird"
"112","sturnus unicolor","calb","calb06","rev01",2021-07-20 09:31:36,"searching for food, searching for food",FALSE,1,"10.3075",19,"64.183334","a06_rev01_IMG_0226",3464.52351851852,180.397268518519,-6.445390005,36.96956998,"Bird"
"113","sturnus unicolor","calb","calb05","rev01",2021-07-20 09:32:58,"searching for food, searching for food",FALSE,1,"17.03",19,"10.366667","a05_rev01_07190499",3464.52351851852,298.153171296296,-6.445564013,36.96968104,"Bird"
"114","sus scrofa","calb","calb07","rev01",2021-07-20 20:26:38,"searching for food, searching for food",FALSE,1,"18.88",19,"20.25","a07_rev01_IMG_0036",3464.52351851852,147.849513888889,-6.445320016,36.96933998,"Mammal"
"115","oryctolagus cuniculus","calb","calb24","rev01",2021-07-21 03:08:52,"searching for food, searching for food",FALSE,1,"18.9",19,"9.888","a24_rev01_07210010",3464.52351851852,123.511712962963,-6.447339971,36.96890001,"Mammal"
"116","cyanopica cooki","calb","calb02","rev01",2021-07-21 10:59:00,"searching for food, searching for food",FALSE,1,"19.37",19,"34","a02_rev01_IMG_0017",3464.52351851852,208.628518518519,-6.445670966,36.97001598,"Bird"
"117","cyanopica cooki","calb","calb07","rev01",2021-07-21 11:10:30,"searching for food, searching for food",TRUE,1,"18.88",19,"10","a07_rev01_IMG_0038",3464.52351851852,147.849513888889,-6.445320016,36.96933998,"Bird"
"118","alectoris rufa","calb","calb17","rev01",2021-07-21 20:29:54,"searching for food, searching for food",FALSE,1,"18.15",19,"9.901","a17_rev01_07210202",3464.52351851852,227.570763888889,-6.44634001,36.96864001,"Bird"
"119","sus scrofa","calb","calb24","rev01",2021-07-21 22:18:36,"searching for food, searching for food",FALSE,1,"18.9",19,"79.801","a24_rev01_07210011",3464.52351851852,123.511712962963,-6.447339971,36.96890001,"Mammal"
"120","sus scrofa","calb","calb24","rev01",2021-07-21 22:23:48,"searching for food, searching for food",FALSE,1,"18.9",19,"79.343","a24_rev01_07210020",3464.52351851852,123.511712962963,-6.447339971,36.96890001,"Mammal"
